,Index,Dish,Instructions,Ingredients
17,1561807,Red Wine Fig Brownies,"""Preheat oven to 350\u00b0F and spray an 8 x 8 baking dish really well with unflavored cooking spray. Whisk the flour, cocoa powder and salt together in a bowl and set it aside. Then fill a small pot about halfway with water and bring it to a gentle simmer over medium heat. Combine the chocolate, fig jam, butter and milk in a heat proof bowl and place it over the simmering water to form a double boiler. Let it all melt together completely and become shiny, stirring it often with a heatproof spatula or spoon. Take it off the heat when it all smooth and melted and let it cool for a few minutes."", ""Set up a stand mixer with the paddle attachment and beat the sugar and eggs thoroughly together in its bowl. Pour in the melted chocolate and fig jam mixture next and let it get mixed in completely. Then pour in the red wine. Finally, turn the speed to low and slowly add in the dry ingredients until you have a thick, luscious batter. Pour the batter into the prepared pan and bake for about 45 minutes, until completely baked through. Use a toothpick inserted in the center to test it. Let them cool completely, then cut into 16 equal brownies. Serve immediately or store in an airtight container until you need them! They'll keep for a few days.""","""All-purpose"", ""Cocoa"", ""Salt"", ""Chocolate"", ""Butter"", ""Milk"", ""Sugar"", ""Eggs"", ""Red Wine"""
18,1165781,Magic Butter Cake,"""Prepare cake mix as directed on box."", ""Pour into a greased 9x13-inch cake pan."", ""Beat together the 1 lb. Ricotta cheese, 3 eggs,1 cup sugar, and 2 tsp vanilla."", ""Pour over cake top."", ""Bake at 350\u00b0F for 1 hour."", ""When baked, the cheese mixture will now be on the bottom-surprise!"", ""Cool --- sprinkle with powdered sugar.""","""butter"", ""eggs"", ""oil"", ""water"", ""ricotta cheese"", ""eggs"", ""sugar"", ""vanilla"""
19,986965,Strawberry Cloud,"""-------Crust-------."", ""Mix crust ingredients with a fork or pastry blender."", ""Press into bottom of 9x13\"" pan."", ""Bake at 350 degrees for 15 minutes."", ""Cool completely."", ""-------Filling-------."", ""Soften cream cheese."", ""Mix in sugar until smooth."", ""Crush one cup of the berries and add to cream cheese, along with the Cool Whip (I use an electric mixer)."", ""Coarsely chop the remaining cup of berries and fold into mixture."", ""Spread filling evenly over cooled crust."", ""Cover and refrigerate until served.""","""Crust"", ""flour"", ""sugar"", ""margarine"", ""pecans"", ""Filling"", ""cream cheese"", ""powdered sugar"", ""fresh strawberries"""
20,1591821,Banana Crepes,"""Combine the flour with the sugar and the salt."", ""Pour into the blender the banana with the egg and blend to reduce it into pure."", ""Make a well in the center of the flour and add the banana pure. Start to add slowly the water and stir with a wooden spoon. Cover with a napkin and allow to rest about 30 minutes."", ""Heat a non-stick skillet over medium heat. Lightly grease with butter. Drop batter by 1/4 cupfuls onto the greased skillet. Roll the skillet to cover the bottom with the batter. Cook about a minute then turn on the other side. Grease the skillet every time you drop the new batter."", ""Serve warm with sliced bananas and ice cream or melted chocolate.""","""whole wheat flour"", ""white sugar"", ""salt"", ""banana small"", ""egg"", ""water"""
21,1038462,Carolina Chew Bread,"""Over medium heat combine sugar and eggs in a heavy saucepan"", ""stirring constantly until sugar is dissolved."", ""Remove from heat and add remaining ingredients, stirring mixture well."", ""Spoon mixture into a greased 15 x 10 x 1 inch pan."", ""Bake at 400 degrees for 15 minutes or until golden brown."", ""Cool and cut into small squares.""","""light brown sugar"", ""eggs"", ""flour"", ""salt"", ""vanilla"", ""pecans"""
22,1513026,Chili Pockets,"""In a small bowl, combine the chili, cheese and cilantro. Roll pizza dough into a 12-in. square; cut into four 6-in. squares. Spoon 1/2 cup chili mixture onto the center of each square; brush edges of dough with water. Fold one corner of each square over filling to the opposite corner, forming a triangle. Using a fork, crimp edges to seal."", ""Sprinkle 1-1/2 teaspoons cornmeal over a greased 15x10x1-in. baking pan. Place pockets in pan; prick tops with a fork. Sprinkle with remaining cornmeal."", ""Bake at 425\u00b0 for 10-12 minutes or until golden brown. Serve with sour cream and salsa.""","""chili with beans"", ""cheddar cheese"", ""fresh cilantro"", ""crust"", ""cornmeal"", ""Sour cream"""
23,823135,Hot Dish,"""Brown meat with onion and seasoning."", ""Drain liquid from beans. Put meat and beans in layers in greased 2-quart casserole; heat soup and milk and pour over mixture."", ""Put Tater Tots on top."", ""Bake 45 to 60 minutes or until heated in 350\u00b0 oven.""","""hamburger"", ""salt"", ""green beans"", ""onion"", ""cream of celery soup"", ""Tater"", ""milk"""
24,213572,Punch For Pennies,"""Mix Kool-Aid, sugar and pineapple juice in a punch bowl."", ""Add water and stir well."", ""Add ginger ale and ice when ready to serve. A great crowd pleaser!""","""ginger ale"", ""cold water"", ""pineapple juice"", ""sugar"", ""cherry"""
25,294056,Crock-Pot Pizza,"""Alternate layers, ending with cheese on top. Heat in pot for 4 to 5 hours on low heat.""","""hamburger"", ""Mozzarella cheese"", ""onion"", ""pepperoni"", ""rigatoni noodles"", ""cream of mushroom soup"", ""pizza sauce"""
26,1209951,Buffalo Drumsticks,"""Preheat oven to 400 dgrees. Line a large, rimmed baking sheet with foil and place a wire rack on top. Pat drumsticks dry."", ""In a large bowl, toss together drumsticks with vegetable oil, salt, and pepper. Place chicken on wire rack and bake until crispy and cooked through turning occasionally, 50-55 minutes. Remove from oven and preheat broiler."", ""Meanwhile, mix together hot sauce, minced garlic and butter. Toss legs in sauce until coated, then transfer back onto baking sheet. Broil until crispy and golden, about 2 minutes more."", ""Serve with ranch, carrots, and celery, (optional).""","""chicken drumsticks"", ""vegetable oil"", ""garlic"", ""kosher salt"", ""black pepper"", ""'s red"", ""unsalted butter"", ""ranch dressing"", ""carrot"", ""celery"""
27,314261,Banana Rhubarb Crisp,"""In"", ""a medium bowl combine bananas, rhubarb and 2 tablespoons sugar,"", ""cinnamon and nutmeg."", ""Spoon the mixture into a well greased"", ""shallow baking dish."", ""In a medium bowl, combine the flour,"", ""graham"", ""cracker"", ""crumbs and baking powder. With a pastry blender,"", ""cut"", ""in"", ""butter"", ""until"", ""mixture"", ""is crumbly. Combine egg"", ""and"", ""milk and stir in."", ""Spoon batter evenly over fruit. Sprinkle 2 tablespoons sugar over top of batter."", ""Bake 25 to 30 minutes at 400\u00b0."", ""Serve with ice cream."", ""Serves 6.""","""bananas"", ""rhubarb"", ""sugar"", ""cinnamon"", ""generous"", ""flour"", ""graham cracker crumbs"", ""baking powder"", ""butter"", ""egg"", ""milk"""
28,442318,Corn Pudding,"""Mix corn, eggs, fat, and milk."", ""Season with salt and pepper. Pour into greased baking dish and set in a pan of hot water."", ""Bake at 350\u00b0 (moderate oven) until set (50 to 60 minutes)."", ""Yield:"", ""4 servings.""","""corn"", ""eggs"", ""milk"", ""salt"", ""pepper"""
29,961053,Baked Spanish Rice,"""In a oven-proof Dutch oven or a large frypan with an oven proof tight fitting lid, melt the butter."", ""Saute the onions, garlic, celery and green pepper until soft (about 4-5 minutes)."", ""Add in the converted rice and mix with a wooden spoon for about 3 minutes."", ""Carefully add in the chicken broth and diced tomatoes (with juice) along with all the remaining ingredients; stir to combine, and simmer on top of the stove on low heat for 5-6 minutes (just long enough for the mixture to boil)."", ""Set oven to 350 degrees."", ""Cover with an oven-proof tight fitting lid and place in oven to cook for about 30-35 minutes or until the rice is at desired tenderness."", ""Fluff with a fork."", ""Delicious!""","""uncle ben's"", ""onions"", ""green bell pepper"", ""stalks celery"", ""fresh garlic"", ""butter"", ""tomatoes"", ""salt"", ""pepper"", ""cayenne pepper"", ""olive"", ""frozen peas"", ""mushrooms"", ""chicken broth"""
30,1500623,Cherry Gelatin Fruit Salad,"""In a large saucepan, bring applesauce to a boil. Remove from the heat; stir in gelatin until dissolved. Slowly add soda and pineapple. Pour into a 1-1/2 qt. serving bowl. Refrigerate until firm.""","""applesauce"", ""cherry gelatin"", ""lemon-lime soda"", ""pineapple"""
31,1570719,Blueberry Wheat Pancake Muffins With Cherries And Walnuts,"""Preheat oven to 400\u00b0F and fill muffin tin(s) with liners. In a medium bowl, whisk together the pancake mix, cinnamon and nutmeg. Next pour in the egg, milk, oil, vanilla and syrup. Mix just until combined; do not over mix. Add cherries and walnuts and stir to combine."", ""Fill muffin liners about 2/3 full with batter. Bake for 12-14 minutes, or until an inserted toothpick comes out clean. Cool on a cooling rack.""","""Blueberry Wheat Pancake Batter"", ""Cinnamon"", ""Freshly Grated Nutmeg"", ""Egg"", ""Milk"", ""\u00bc"", ""Vanilla"", ""Syrup"", ""Fresh Cherries"", ""\u00bc"""
32,1099853,M&M'S Fudge Jumbles,"""Heat oven to 375\u00b0F; Lightly grease or spray cookie sheet."", ""Stir together by hand dry brownie mix, flour, oil, water and eggs in a large bowl."", ""Stir in candies."", ""Drop a couple of inches apart onto cookie sheet."", ""Bake 12 minutes or just until set and tops are dry-- careful not to overbake."", ""Let stand 2-3 minutes before removing from cookie sheet; cool completely on wire racks."", ""Makes about 30 medium size cookies.""","""brownie mix"", ""flour"", ""vegetable oil"", ""water"", ""eggs"", ""chocolate candy"""
33,1273057,A-Rise ,"""mix all ingredients over crushed ice, pour into martini glass, garnish with Maraschino cherry""","""orange/pineapple juice"", ""vodka"", ""banana liquor"", ""coconut syrup"""
34,1473777,Fluffy Buttermilk Waffles,"""Whisk together first 4 ingredients in a large bowl. Whisk together egg yolks and buttermilk in a small bowl. Beat egg whites and cream of tartar at high speed with an electric mixer until stiff peaks form. Using a fork, stir yolk mixture into flour mixture just until dry ingredients are moistened. Stir in butter and vanilla. (Batter will be lumpy.) Fold in egg white mixture just until incorporated. (Do not overmix.) Pour about 1/2 cup batter for each waffle into a preheated, oiled Belgian-style waffle iron; cook according to manufacturer's instructions until waffles are golden brown and crisp. Keep warm in a single layer on a baking sheet in a 200\u00b0 oven up to 30 minutes. Serve with syrup."", ""Batter will also make 24 pancakes.""","""cake flour"", ""baking powder"", ""baking soda"", ""salt"", ""eggs"", ""buttermilk"", ""cream of tartar"", ""butter"", ""vanilla"", ""Syrup"""
35,1200085,Crab And Asparagus Salad,"""Steam/boil Asparagus for 5 min until nice and pretty green then transfer into bowl of ice water(blanching)."", ""mix mayo,soy sauce,sugar salt and pepper until smooth."", ""cut spears in half and drizzle dressing over crab and asparagus folding the mixture together"", ""refrigerate for and hour or eat right away."", ""Sprinkle with seaseme seeds if desired.""","""fresh asparagus"", ""hellmanns mayonnaise"", ""soy sauce"", ""lump crab"", ""sugar"", ""salt"""
36,1039435,Easy Tofu Ice Cream,"""spoon tofu into blender, along with whipping cream, vanilla, and sugar."", ""puree til well blended."", ""pour into container and freeze for 3 hours."", ""scoop and enjoy!""","""whipping cream"", ""silken"", ""granulated sugar"", ""vanilla"""
37,311941,7 Layer Salad,"""Layer lettuce that has been torn into bite-size pieces in bottom of dish. Layer peas (uncooked) and onions. Layer egg, then spread salad dressing on top of these layers."", ""Sprinkle top with Cheddar cheese and bacon bits."", ""Refrigerate before serving.""","""head lettuce"", ""purple onion"", ""frozen green peas"", ""eggs"", ""bacon"", ""salad dressing"", ""Cheddar cheese"""
38,1796542,Fish stock,"""If the fish heads are used, the gills must be removed."", ""Rinse the bones under cold running water."", ""Drain and place the bones in a kettle or deep saucepan."", ""Add the remaining ingredients."", ""Bring to the boil and simmer for 20 minutes."", ""Strain.""","""fish"", ""water"", ""white wine"", ""celery"", ""onion"", ""thyme"", ""bay leaf"", ""peppercorns"", ""Salt"", ""tomato"""
39,1134322,Chicken Breasts With Thai Flavors,"""Crush the coriander and cumin seeds lightly."", ""Combine with the ground cumin, minced ginger, cilantro, jalapeno, lime zest and juice, oil, black pepper and salt."", ""Put the chicken breasts in a glass dish and pour marinade over."", ""Turn the chicken to coat."", ""Marinate at room temperature 1 hour or refrigerate for longer marination."", ""Heat large nonstick grill pan or skillet over medium heat."", ""Remove chicken from marinade, discard marinade."", ""When pan is hot, add chicken and cook about 5 to 6 minutes on each side, or until cooked through."", ""(Reduce heat slightly if chicken is browning too much.).""","""coriander seed"", ""cumin"", ""ground cumin"", ""gingerroot"", ""cilantro"", ""pepper"", ""lime zest"", ""lime juice"", ""canola oil"", ""black pepper"", ""salt"", ""chicken"""
40,572862,Chinese Chews,"""Melt butter in saucepan; stir in brown sugar."", ""Cool slightly. Beat in eggs and vanilla; add flour, baking powder and salt."", ""Add pecans or coconut."", ""Bake at 350\u00b0 until it falls."", ""Cool before cutting.""","""brown sugar"", ""vanilla"", ""baking powder"", ""butter"", ""eggs"", ""flour"", ""salt"", ""pecans"""
41,2108805,White Chocolate Cake with Spiky Meringue Frosting,"""TO MAKE THE CAKE: Place 1 oven rack in the top third of the oven and the second in the bottom third."", ""Preheat the oven to 350F."", ""Line three 9-inch cake pans with parchment paper rounds, grease with butter or cooking spray, dust the pans with flour, and knock out the excess."", ""Using an electric mixer fitted with the paddle attachment, cream the 1 cup butter and 1 1/2 cups granulated sugar on medium-high speed until light and fluffy, about 3 minutes."", ""Use a rubber spatula to scrape down the sides of the bowl."", ""In a bowl, stir together the flour, baking powder, and salt."", ""Stir the vanilla into the 1 cup whipping cream."", ""Add the flour mixture and cream in alternating batches, beginning and ending with flour."", ""After each addition, mix on low speed just to combine the ingredients."", ""Stir in the 1 1/2 cups nuts."", ""In a separate bowl, using an electric mixer fitted with the whisk attachment, whip the 5 egg whites on high speed until stiff, but not dry, peaks form."", ""Gently fold the egg whites into the batter."", ""Spoon the batter evenly into the prepared cake pans."", ""Set 2 layers on 1 rack and the third on the other."", ""Stagger the cake layers on the oven racks so that no layer is directly over another."", ""Bake until the cake is firm to the touch, and a toothpick inserted into the middle comes out clean, 25 to 30 minutes."", ""Monitor the layers carefully for doneness; each may be done at a different time."", ""Cool the layers in their pans about 10 minutes; unmold onto wire racks to cool completely."", ""TO MAKE THE FILLING: Melt the 2 cups white chocolate chips in a metal bowl set over a saucepan with 2 inches of lightly simmering water."", ""Stir constantly until the chocolate is melted completely."", ""Or melt the chocolate in a glass bowl in the microwave at 50 percent power30 seconds at first, then in 15-second increments, stirring the chocolate between each heating until melted."", ""Let the chocolate cool for about 15 minutes."", ""Using an electric mixer fitted with the paddle attachment, cream the 2 cups butter on medium-high speed, about 1 minute."", ""Add the powdered sugar and 1/4 cup whipping cream and beat on medium-high speed for about 2 minutes."", ""Beat in the cooled white chocolate until it is completely incorporated."", ""TO MAKE THE MERINGUE FROSTING: Set a large, perfectly clean metal bowl over a pot filled with 2 inches of lightly simmering water."", ""Pour in the 10 egg whites and the 3 cups granulated sugar."", ""Heat the egg whites and sugar, whisking constantly, until the sugar melts and there are no visible grains in the meringue."", ""(Rub a little bit of meringue between your fingers to make sure all sugar grains have melted.)"", ""Remove the meringue from the heat and beat it in a mixer fitted with a whisk attachment on high speed until the meringue is stiff and shiny, about 5 minutes."", ""Fold in the 1 cup cooled melted chocolate."", ""TO ASSEMBLE THE CAKE: Place 1 cake layer on a serving plate and spread the top with half of the filling."", ""Repeat with a second layer."", ""Stack the final cake layer on top of the first 2 and generously cover the top and sides with meringue frosting."", ""Sprinkle with chopped macadamia nuts."", ""You can make and assemble the cake layers and filling up to 1 day in advance."", ""Wrap and refrigerate."", ""Make the icing within a few hours of serving."", ""For a spectacular presentation, use a kitchen torch to toast the meringue frosting until it is a light golden brown."", ""Hold it 2 to 3 inches away from the meringue and move the flame slowly around the frosted cake until it is golden all over."", ""I love the way it makes the cake look like a giant meringue."", ""White chocolate is made with just cocoa butter, the fat component of the cacao bean, plus milk solids, sugar, and, depending on the brand, other flavorings and ingredients."", ""But some manufacturers replace all or most of the cocoa butter with vegetable oilseven partially hydrogenated vegetable oils."", ""For best results, I recommend Sunspire white chocolate chips, Bernard Callebaut white chocolate drops, or Guittard white chocolate wafers.""","""unsalted butter"", ""sugar"", ""cake flour"", ""baking powder"", ""kosher salt"", ""vanilla"", ""heavy whipping cream"", ""nuts"", ""egg whites"", ""white chocolate chips"", ""unsalted butter"", ""powdered sugar"", ""heavy whipping cream"", ""egg whites"", ""granulated sugar"", ""white chocolate chips"", ""nuts"""
42,1441856,Apple Pot Pie,"""Combine flour and salt in a medium mixing bowl; cut in 1/3 cup butter with a pastry blender until mixture resembles coarse meal. Sprinkle 1/2 cup cold water evenly over surface; stir with a fork until dry ingredients are moistened. Shape dough into a ball; chill."", ""Combine sugar and cinnamon; set aside."", ""Roll dough into an 18- x 12- inch rectangle on a lightly floured surface; cut dough into 2-inch squares."", ""1/4 cup butter, and dough in a 3- quart saucepan. Add 2 cups water to saucepan. Cover and simmer 20 minutes; uncover and simmer 15 minutes or until thickened. Spoon hot pie into individual serving dishes, and serve with vanilla ice cream.""","""flour"", ""salt"", ""butter"", ""cold water"", ""sugar"", ""ground cinnamon"", ""cooking apples"", ""butter"", ""water"", ""Vanilla ice cream"""
43,712445,Rolls,"""Mix together 1 cup lukewarm water, yeast and pinch of sugar. Let set, without stirring, 5 minutes."", ""Add 1 cup lukewarm water, oil, sugar and salt."", ""Stir until sugar melts and blends in."", ""Add flour all at one time; stir until blended."", ""Set aside and let rise until doubled."", ""Punch down.""","""flour"", ""water"", ""yeast"", ""sugar"", ""oil"", ""sugar"", ""salt"""
44,1882662,Chicken Casserole Recipe,"""Place chicken in deep kettle."", ""Add in water, sherry, salt, curry pwdr, onion and celery."", ""Bring to boil and cover tightly."", ""Reduce heat and simmer 1 hour."", ""Remove from heat and strain broth."", ""Chill chicken and broth at once."", ""When cold, remove chicken from bone, discarding skin."", ""Cut into bite-size pcs."", ""Wash mushrooms, pat dry, and saute/fry in butter till golden brown."", ""Measure broth and use as part of liquid to cook rice (following package instructions for hard rice)."", ""Combine chicken, rice and mushrooms (reserve sufficient caps to place a few on top of casserole)."", ""Blend lowfat sour cream and mushroom soup, undiluted and toss with chicken mix."", ""Place in a 3 1/2 to 4 qt casserole."", ""Arrange reserved mushrooms in circle on top."", ""Cover and chill till needed."", ""To heat, bake in 350 degree oven for 1 hour."", ""Serves 10."", ""(I sometimes put into 2 smaller casseroles and freeze 1 casserole for later.)""","""chicken"", ""water"", ""sherry"", ""salt"", ""onion"", ""celery"", ""mushrooms"", ""butter"", ""wild rice"", ""sour cream"", ""cream of mushroom soup"", ""curry pwdr"""
